Ranks,Nodes,Threads,Load,Bcast,Scatter,LockInit,SpMV,Reduce,Store
1,1,1,0.767487,0.000040,0.000045,0.000339,0.031262,0.000058,0.025259
2,1,1,0.697942,0.002310,0.012295,0.000339,0.015582,0.001069,0.025308
4,1,1,0.689352,0.000671,0.015854,0.000331,0.077044,0.002023,0.024464
8,1,1,0.694506,0.000800,0.026506,0.000341,0.199508,0.052815,0.025002
16,1,1,0.694189,0.000982,0.005518,0.000351,0.643789,0.031846,0.024689
28,1,1,0.694365,0.000970,0.005532,0.000347,0.395915,0.013727,0.025159
1,1,1,0.691300,0.000032,0.000050,0.000337,0.031129,0.000059,0.025046
1,1,2,0.698240,0.000029,0.000058,0.000337,0.031326,0.000067,0.028024
1,1,4,0.706342,0.000031,0.000049,0.000337,0.031027,0.000067,0.025164
1,1,8,0.737107,0.000028,0.000047,0.000334,0.031574,0.000064,0.025129
1,1,16,0.696676,0.000028,0.000049,0.000337,0.031555,0.000059,0.025179
1,1,28,0.689858,0.000028,0.000049,0.000355,0.032108,0.000061,0.025126
2,2,28,0.704040,0.011291,0.010853,0.000326,0.016929,0.001072,0.025482
4,4,28,0.764783,0.016832,0.025957,0.000344,0.004146,0.001846,0.024522
